"Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024)"
"Leeftijd: 18 jaar of ouder"
"Marges: Waarde"
"Perioden: 2024"
"";"Onderwerp"
"";"Regioaanduiding|Gemeentenaam";"Regioaanduiding|Soort regio";"Regioaanduiding|Codering";"Ervaren gezondheid|Goed ervaren gezondheid";"Lichamelijke gezondheid|Één of meer langdurige aandoeningen";"Beperkingen|Één of meer lichamelijke beperkingen";"Mentale gezondheid|Hoog risico angststoornis of depressie";"Broze gezondheid|Broze gezondheid";"Eenzaamheid|Sterk eenzaam";"Moeite met rondkomen|Moeite met rondkomen";"Overgewicht en ernstig overgewicht|Ernstig overgewicht (obesitas)";"Roken|Rookt tabak";"Alcoholgebruik|Voldoet aan de alcoholrichtlijn";"Geluidhinder en slaapverstoring|Geluidhinder|Ernstige geluidhinder wegverkeer";"Geluidhinder en slaapverstoring|Slaapverstoring|Ernstige slaapverstoring vliegverkeer";"Wonen en woonomgeving|Tevreden met de woonomgeving";"Hitte|Kan goed verkoeling vinden binnen"
"Wijken en buurten";"naam";"omschrijving";"codering";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Nederland";"Nederland";"Land";"NL01";"72,8";"34,9";".";"9,6";".";"13,6";"15,3";"16,7";"17,2";"45,8";"7,3";"1,5";"86,9";"57,3"
"Apeldoorn";"Apeldoorn";"Gemeente";"GM0200";"73,5";"35,7";".";"9,3";".";"12,5";"14,3";"17,1";"16,7";"47,6";"7,5";"0,5";"88,6";"59,8"
"Centrum";"Apeldoorn";"Wijk";"WK020001";"71,0";"35,7";".";"12,8";".";"16,6";"20,2";"17,1";"21,9";"45,7";"10,2";"0,6";"81,4";"43,8"
"Binnenstad";"Apeldoorn";"Buurt";"BU02000101";"71,0";"35,1";".";"13,5";".";"17,5";"21,6";"16,8";"23,4";"45,4";"10,4";"0,7";"79,5";"41,1"
"De Haven";"Apeldoorn";"Buurt";"BU02000102";"70,9";"37,7";".";"10,1";".";"13,7";"15,3";"18,0";"16,9";"46,8";"9,5";"0,5";"87,8";"52,9"
"West";"Apeldoorn";"Wijk";"WK020002";"74,1";"36,2";".";"8,8";".";"11,9";"12,9";"15,4";"15,8";"46,2";"7,0";"0,5";"90,1";"59,4"
"Brinkhorst";"Apeldoorn";"Buurt";"BU02000201";"74,1";"36,5";".";"8,7";".";"12,4";"13,5";"15,8";"17,6";"43,9";"8,8";"0,5";"89,5";"56,7"
"Sprengenweg-Noord";"Apeldoorn";"Buurt";"BU02000202";"74,1";"37,3";".";"6,8";".";"9,9";"10,4";"13,7";"12,4";"43,3";"7,4";"0,5";"92,7";"64,3"
"Sprengenbos";"Apeldoorn";"Buurt";"BU02000203";"78,0";"33,9";".";"6,4";".";"9,2";"9,0";"12,4";"13,0";"41,0";"5,2";"0,4";"93,2";"61,8"
"Berg en Bos";"Apeldoorn";"Buurt";"BU02000204";"83,6";"31,2";".";"3,5";".";"5,8";"5,3";"6,9";"9,1";"39,3";"6,0";"0,5";"95,5";"81,3"
"Driehuizen";"Apeldoorn";"Buurt";"BU02000205";"74,7";"36,4";".";"8,2";".";"11,3";"12,1";"16,2";"15,7";"44,3";"6,7";"0,4";"91,4";"58,1"
"Orden";"Apeldoorn";"Buurt";"BU02000206";"68,0";"38,8";".";"13,0";".";"16,3";"18,9";"19,9";"20,0";"55,1";"7,8";"0,6";"85,1";"51,7"
"Park Berg en Bos";"Apeldoorn";"Buurt";"BU02000207";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bron: Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)"
