"","Data extracted on 03/06/2026 14:26:04 from [ESTAT]","...2","...3","...4","...5","...6","...9","...11","...13","data2014","data2022","data2018","data2010"
"1","TIME","2002",NA,"2006",NA,"2010",NA,NA,NA,"2014","2022","2018",NA
"2","GEO (Labels)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","European Union - 27 countries (from 2020)",":",NA,"26731.0",NA,"29759.0",NA,NA,NA,"32642.88","39034.0",":",NA
"4","European Union - 28 countries (2013-2020)",":",NA,"29506.0",NA,"31176.0",NA,NA,NA,"34210.0",":",":",NA
"5","European Union - 27 countries (2007-2013)",":",NA,":",NA,"31334.09",NA,NA,NA,"34327.53",":",":",NA
"6","Euro area – 20 countries (2023-2025)",":",NA,":",NA,":",NA,NA,NA,":","43544.0",":",NA
"7","Euro area - 19 countries  (2015-2022)",":",NA,":",NA,"34513.0",NA,NA,NA,"37967.0","43902.0",":",NA
"8","Euro area - 18 countries (2014)",":",NA,"31697.0",NA,"34841.0",NA,NA,NA,"38337.0",":",":",NA
"9","Euro area - 17 countries (2011-2013)",":",NA,":",NA,":",NA,NA,NA,":",":",":",NA
"10","Belgium",":",NA,"38125.0",NA,"45280.0",NA,NA,NA,"47527.0","54959.0","49160.0",NA
"11","Bulgaria","1862.0",NA,"2606.0",NA,"4686.0",NA,NA,NA,"5814.0","12760.0","8256.0",NA
"12","Czechia","7174.0",NA,"9781.0",NA,"12696.0",NA,NA,NA,"12542.0","22414.0","16784.0",NA
"13","Denmark",":",NA,"47637.0",NA,"56083.0",NA,NA,NA,"60495.0","71798.0","64568.0",NA
"14","Germany",":",NA,"39396.0",NA,"41495.0",NA,NA,NA,"45429.0","55648.0","49953.0",NA
"15","Estonia",":",NA,"8148.0",NA,"10585.0",NA,NA,NA,"13609.0","22858.0","17094.0",NA
"16","Ireland","35450.0",NA,"42876.0",NA,"44146.0",NA,NA,NA,"48598.0","57116.0","49790.0",NA
"17","Greece",":",NA,"26933.0",NA,"26106.0",NA,NA,NA,"22957.0","25558.0","22552.0",NA
"18","Spain","21792.0",NA,"24262.0",NA,"27975.0",NA,NA,NA,"28933.0","32814.0","29994.0",NA
"19","France",":",NA,"32493.0",NA,"34927.0",NA,NA,NA,"37253.0","40603.0","38747.0",NA
"20","Croatia",":",NA,":",NA,"12402.0",NA,NA,NA,"13007.0","16804.0","14716.0",NA
"21","Italy",":",NA,"30560.0",NA,"32751.0",NA,NA,NA,"36242.0","38665.0","36671.0",NA
"22","Cyprus",":",NA,"24486.0",NA,"27344.0",NA,NA,NA,"25670.0","30316.0","26172.0",NA
"23","Latvia",":",NA,"5839.0",NA,"8526.0",NA,NA,NA,"10195.0","18202.0","14057.0",NA
"24","Lithuania","4099.0",NA,"5716.0",NA,"7226.0",NA,NA,NA,"8756.0","22673.0","11943.0",NA
"25","Luxembourg",":",NA,"47016.0",NA,"51643.0",NA,NA,NA,"58797.0","73637.0","64641.0",NA
"26","Hungary","5873.0",NA,"8115.0",NA,"9879.0",NA,NA,NA,"10209.0","16825.0","13539.0",NA
"27","Malta",":",NA,"17654.0",NA,"19600.0",NA,NA,NA,"22641.0","31571.0","27047.0",NA
"28","Netherlands","37003.0",NA,"38998.0",NA,"44965.0",NA,NA,NA,"48839.67","59527.0","51826.0",NA
"29","Austria",":",NA,"37049.0",NA,"40514.0",NA,NA,NA,"44454.0","54296.0","48549.0",NA
"30","Poland","6878.0",NA,"8574.0",NA,"10507.0",NA,NA,NA,"11665.0","17484.0","13847.0",NA
"31","Portugal",":",NA,"16597.0",NA,"18507.0",NA,NA,NA,"17497.0","23152.0","18236.0",NA
"32","Romania","2344.0",NA,"4223.0",NA,"6031.0",NA,NA,NA,"6746.0","16575.0","11906.0",NA
"33","Slovenia","12560.0",NA,"15809.0",NA,"21162.0",NA,NA,NA,"22508.0","30082.0","24669.0",NA
"34","Slovakia","5506.0",NA,"6771.0",NA,"10321.0",NA,NA,NA,"12265.0","19527.0","15159.0",NA
"35","Finland",":",NA,"34345.0",NA,"39635.0",NA,NA,NA,"44543.0","51036.0","46071.0",NA
"36","Sweden","31388.0",NA,"34197.0",NA,"38981.0",NA,NA,NA,"44845.0","46756.0","43425.0",NA
"37","Iceland",":",NA,":",NA,"32551.0",NA,NA,NA,"44188.0","74436.0","68633.0",NA
"38","Norway",":",NA,"50440.0",NA,"58075.0",NA,NA,NA,"63157.0","69144.0","63289.0",NA
"39","Switzerland",":",NA,":",NA,"68488.0",NA,NA,NA,"75886.0","102507.0","83413.0",NA
"40","United Kingdom","41102.0",NA,"44377.0",NA,"38470.0",NA,NA,NA,"42037.0",":","42744.0",NA
"41","Bosnia and Herzegovina",":",NA,":",NA,":",NA,NA,NA,":","11395.0",":",NA
"42","Montenegro",":",NA,":",NA,":",NA,NA,NA,"8778.0",":",":",NA
"43","North Macedonia",":",NA,":",NA,"5824.0",NA,NA,NA,"6599.0","9644.0","7363.0",NA
"44","Albania",":",NA,":",NA,":",NA,NA,NA,":","7233.0","4864.0",NA
"45","Serbia",":",NA,":",NA,":",NA,NA,NA,"7008.0","11638.0","8100.0",NA
"46","Türkiye",":",NA,"8405.0",NA,"10386.0",NA,NA,NA,"10341.0",":","9129.0",NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Special value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",":","not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
